,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text17,17,text17,1460,4774,140,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/merah-%E2%80%98untold-story%E2%80%99-french-jihadist-icon,Merah: The Untold Story of a French Jihadist Icon,-82,50,74,24,30,67,40,49,1
text19,19,text19,1305,4264,145,3/21/2016,Politics,http://www.worldaffairsjournal.org/article/democracy-retreat,Is Democracy in Retreat?,-66,44,75,30,36,68,41,52,1
text13,13,text13,1387,3939,89,2/11/2016,Politics,http://www.worldaffairsjournal.org/article/turning-west-south-africa%E2%80%99s-ominous-pivot,Turning from the West: South Africas Ominous Pivot,-50,40,93,26,29,66,46,40,1
text23,23,text23,924,2367,63,5/2/2016,Politics,http://www.worldaffairsjournal.org/article/islam-and-democracy-after-arab-spring,Islam and Democracy After the Arab Spring,-50,32,54,14,19,49,27,34,2
text39,39,text39,436,991,27,5/2/2016,Politics,http://thinkprogress.org/politics/2016/05/02/3774456/donald-trump-hillary-clinton-off-the-reservation-native-americans/,Donald Trump Demonstrates Newfound Sensitivity To Derogatory Language About Native Americans,-41,13,14,9,4,15,10,7,1
text42,42,text42,326,706,17,5/2/2016,Politics,http://thinkprogress.org/health/2016/05/02/3774575/developmentally-disabled-abuse-bronx/,Families Sue Sadistic Facility For Allegedly Abusing Developmentally Disabled Residents,-29,12,19,8,8,14,13,8,1
text61,61,text61,534,1295,21,5/2/2016,Politics,http://feeds.foxnews.com/~r/foxnews/politics/~3/5C9K7OEKxnQ/california-lt-gov-newsom-lawmakers-on-collision-course-over-gun-control.html,"California Lt. Gov. Newsom, lawmakers on collision course over gun control",-27,21,39,8,8,25,11,14,1
text18,18,text18,537,1231,30,3/3/2016,Politics,http://www.worldaffairsjournal.org/article/continuing-battle-human-rights-russia,The Continuing Battle for Human Rights in Russia,-23,25,34,19,10,28,22,13,1
text38,38,text38,301,610,9,5/2/2016,Politics,http://thinkprogress.org/economy/2016/05/02/3774586/muslim-workers-fired-prayer/,This Company Fired Muslims Who Wanted To Pray On The Job. Now The Workers Are Fighting Back.,-22,4,15,2,2,3,5,7,1
text72,72,text72,206,452,8,5/2/2016,Politics,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/b_WygZ34GK8/us-crime-hastert-idUSKCN0XT23W,Wrestling body revokes ex-House Speaker Hastert's awards,-21,9,16,4,6,11,6,7,1
text16,16,text16,797,2113,51,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/ukraine-example-nuclear-disarmament-doesn%E2%80%99t-pay,The Ukraine Example: Nuclear Disarmament Doesnt Pay,-20,26,53,16,18,34,26,31,1
text8,8,text8,585,1310,31,2/24/2016,Politics,http://www.worldaffairsjournal.org/article/russias-social-media-vs-kremlins-domestic-information-war,Russia's Social Media vs. the Kremlin's Domestic Information War,-19,14,25,9,12,18,8,16,1
text66,66,text66,646,1717,24,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/obama-terror-doctrine-bin-laden-raid/index.html?eref=rss_politics,Obama on the future of terrorism after bin Laden raid,-16,22,29,9,11,34,19,19,1
text56,56,text56,308,726,17,5/2/2016,Politics,http://www.nytimes.com/politics/first-draft/2016/05/02/hillary-clinton-hears-wrath-of-coal-supporters-in-west-virginia/?partner=rss&emc=rss,First Draft: Hillary Clinton Hears Wrath of Coal Supporters in West Virginia,-12,9,13,5,5,6,7,7,1
text57,57,text57,334,743,12,5/2/2016,Politics,http://www.nytimes.com/2016/05/03/us/virginia-felon-voting-rights-republicans-court-challenge.html?partner=rss&emc=rss,Virginia Republicans Weigh Court Challenge to Voting Rights for Felons,-11,14,31,3,8,14,6,16,1
text86,86,text86,210,415,9,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_UNITED_STATES_RUSSIA?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,"Navy boss: Russian jets should stop buzzing US planes, ship",-11,5,5,0,0,10,2,3,2
text62,62,text62,316,615,13,5/2/2016,Politics,http://feeds.foxnews.com/~r/foxnews/politics/~3/ibI1Pa_uMG4/virginia-gop-lawmakers-vow-to-sue-over-felon-voting-rights-being-restored.html,Virginia GOP lawmakers vow to sue over felon voting rights being restored,-10,11,23,6,3,10,8,12,1
text33,33,text33,352,731,12,5/2/2016,Politics,http://thinkprogress.org/health/2016/05/02/3774425/puerto-rico-zika-struggle/,"Drowning In Debt, Puerto Rico Is Struggling To Battle Zika",-9,12,23,7,9,18,12,17,1
text41,41,text41,446,1019,20,5/2/2016,Politics,http://thinkprogress.org/climate/2016/05/02/3774418/ttip-greenpeace-leaks/,"Leaked Documents On U.S.-E.U. Trade Deal Paint Worrisome Environmental Picture, Greenpeace Says",-9,8,34,4,8,13,7,10,2
text24,24,text24,982,3103,57,5/2/2016,Politics,http://dailysignal.com/2016/05/02/deep-targets-on-the-ground-with-british-u-s-drone-forces-targeting-isis/,"Deep Targets: On the Ground with British, U.S. Drone Forces Targeting ISIS",-8,37,44,17,15,45,27,26,1
text10,10,text10,206,431,13,2/12/2016,Politics,http://www.worldaffairsjournal.org/article/four-reasons-why-syria-cease-fire-wont-work,Four Reasons Why the Syria Cease-fire Won't Work,-7,7,15,3,2,8,2,6,1
text29,29,text29,319,729,18,5/2/2016,Politics,http://dailysignal.com/2016/05/02/puerto-rico-defaults-again/,Puerto Rico Defaults Again,-7,7,27,7,8,16,9,15,2
text43,43,text43,287,678,3,5/2/2016,Politics,http://www.msnbc.com/msnbc/no-charges-police-virginia-mans-death-after-repeat-tasings,No charges for police in Lambert's death,-7,7,15,4,2,15,12,11,3
text67,67,text67,1016,3805,124,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/osama-bin-laden-raid-architect-mcraven-bergen/index.html?eref=rss_politics,Architect of bin Laden raid: The anxious moments,-7,20,52,6,17,44,18,35,4
text4,4,text4,500,1079,32,5/2/2016,Politics,http://www.slate.com/articles/news_and_politics/politics/2016/05/why_we_know_so_little_about_indiana_s_primary.html,The Whos Sure? State,-5,11,28,3,7,9,9,10,1
text32,32,text32,438,1065,26,5/2/2016,Politics,http://thinkprogress.org/economy/2016/05/02/3774481/flint-water-privatization/,Flint Residents Fear The City Will Outsource Water System To Private Companies,-5,4,16,2,8,13,9,15,2
text34,34,text34,378,800,20,5/2/2016,Politics,http://thinkprogress.org/politics/2016/05/02/3774447/jim-demint-voter-id/,Conservative Think Tank President Says Voter ID Helps Conservatives Win Elections,-5,11,20,1,8,9,4,11,3
text81,81,text81,179,303,9,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152519900/0/tp-onpolitics~Ted-Cruz-Protester-would-get-spanking-at-my-house/,Ted Cruz: Protester would get spanking at my house,-3,2,6,1,6,2,2,5,1
text98,98,text98,76,106,3,5/1/2016,Politics,http://www.wsj.com/articles/white-house-dinner-where-the-nerds-mingle-with-the-cool-kids-1462124633?mod=rss_Politics_And_Policy,White House Dinner: Where the 'Nerds' Mingle With the 'Cool Kids',-3,1,2,0,2,0,1,2,2
text11,11,text11,260,456,10,2/11/2016,Politics,http://www.worldaffairsjournal.org/article/editor%E2%80%99s-introduction-20,Editors Introduction,-2,9,11,4,2,11,7,7,1
text12,12,text12,1333,4067,118,2/11/2016,Politics,http://www.worldaffairsjournal.org/article/moscow-tigris-russia-joins-terror-nexus,Moscow on the Tigris: Russia Joins the Terror Nexus,-2,36,64,24,22,51,31,38,2
text48,48,text48,24,35,1,5/3/2016,Politics,http://www.msnbc.com/msnbc-quick-cuts/watch/trump-clinton-was-screaming-at-teleprompter-678118979657,Trump: Clinton was 'screaming' at...,-2,0,0,0,0,0,0,0,3
text50,50,text50,33,45,2,5/2/2016,Politics,http://www.msnbc.com/hardball/watch/new-voter-id-laws-reshape-us-elections-678127683715,New voter ID laws reshape US elections,-2,2,2,0,1,2,4,1,4
text36,36,text36,456,1051,26,5/2/2016,Politics,http://thinkprogress.org/politics/2016/05/02/3774414/hillary-clinton-coal-country-visit/,Hillary Clinton Is Promising Tough Love To Openly Hostile Coal Country,-1,8,18,6,9,12,11,13,1
text54,54,text54,37,51,2,5/2/2016,Politics,http://www.msnbc.com/hardball/watch/hillary-takes-on-trump-before-in-678126147881,Hillary takes on Trump before IN,-1,1,1,0,0,0,1,0,2
text82,82,text82,171,318,7,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152532570/0/tp-onpolitics~Cruz-tells-protester-Trump-is-taking-advantage-of-you/,Cruz tells protester: 'Trump is taking advantage of you',-1,6,4,2,3,6,5,5,3
text87,87,text87,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_SUPREME_COURT_EXTORTION?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,Justices uphold extortion conspiracy conviction,-1,0,0,0,1,1,1,1,4
text88,88,text88,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/A/APFN_US_SUPREME_COURT_MINIMUM_WAGE?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,Justices reject franchise appeal to Seattle $15 minimum wage,-1,0,0,0,1,1,1,1,5
text89,89,text89,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/E/EU_NATO_TROOPS?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,Carter: NATO considering rotational ground force in Baltics,-1,0,0,0,1,1,1,1,6
text90,90,text90,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_DEM_2016_DELEGATE_FIGHT_QA?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,Q&amp;A: Sanders' long-shot bid to clinch Democratic nomination,-1,0,0,0,1,1,1,1,7
text91,91,text91,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_AGRICULTURE_BOARDS_SCRUTINY?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,INSIDE WASHINGTON: Ag groups seek exemption from scrutiny,-1,0,0,0,1,1,1,1,8
text92,92,text92,27,35,2,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_PUERTO_RICO_BONDS_QA?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,"Q&amp;A: Puerto Rico's debt crisis, what it means for muni bonds",-1,0,0,0,1,1,1,1,9
text44,44,text44,0,0,0,5/2/2016,Politics,http://www.msnbc.com/live-online/watch/live-donald-trump-holds-indiana-rally-678062659994,Coming up: Donald Trump holds Indiana rally,0,0,0,0,0,0,0,0,1
text45,45,text45,34,47,3,5/2/2016,Politics,http://www.msnbc.com/msnbc-news/watch/sanders-insists-he-can-still-win-nomination-678026819600,Sanders Insists He Can Still Win Nomination,0,0,0,0,0,0,0,1,2
text47,47,text47,20,31,1,5/3/2016,Politics,http://www.msnbc.com/live-online/watch/programming-will-resume-later-678143043915,Programming will resume later,0,0,0,0,0,0,0,0,3
text49,49,text49,38,51,2,5/2/2016,Politics,http://www.msnbc.com/hardball/watch/what-does-it-mean-to-be-an-american-678130243515,What does it mean to be an American?,0,0,2,0,0,0,0,0,4
text51,51,text51,310,639,10,5/2/2016,Politics,http://www.msnbc.com/msnbc/confident-trump-mocks-fiorina-fall-indiana,Confident Trump mocks Fiorina fall in Indiana,0,7,17,7,8,8,6,10,5
text60,60,text60,47,56,1,5/2/2016,Politics,http://www.politico.com/gallery/2016/05/white-house-correspondents-politico-brunch-photos-002254,Photos: POLITICO Garden Brunch,0,0,3,0,1,0,0,0,6
text73,73,text73,0,0,0,4/27/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/croonin-cruzes,Ted Cruz picks Carly Fiorina as his running mate,0,0,0,0,0,0,0,0,7
text74,74,text74,0,0,0,4/28/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/look-out-world,Donald Trump outlines his plan for foreign policy,0,0,0,0,0,0,0,0,8
text75,75,text75,0,0,0,4/28/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/quid-pro-quo,The Supreme Court seems inclined to loosen bribery rules for politicians,0,0,0,0,0,0,0,0,9
text76,76,text76,0,0,0,4/28/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/felon-vote,Will the restoration of felons voting rights in Virginia help the Democrats?,0,0,0,0,0,0,0,0,10
text77,77,text77,0,0,0,4/29/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/odd-cases-good-law,Why freedom of speech might protect you when you arent speaking,0,0,0,0,0,0,0,0,11
text78,78,text78,0,0,0,4/28/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/yuge-erections,The mysterious power of Trumps garish buildings,0,0,0,0,0,0,0,0,12
text79,79,text79,0,0,0,4/30/2016,Politics,http://www.economist.com/blogs/democracyinamerica/2016/04/new-politics-podcast,"Special Relationship, Episode 1",0,0,0,0,0,0,0,0,13
text80,80,text80,166,311,9,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152526862/0/tp-onpolitics~Whoops-Carly-Fiorina-falls-off-stage/,Whoops! Carly Fiorina falls off stage,0,2,6,2,3,2,5,4,14
text99,99,text99,52,63,2,5/1/2016,Politics,http://www.wsj.com/articles/malia-obama-to-attend-harvard-after-taking-a-gap-year-1462119314?mod=rss_Politics_And_Policy,Malia Obama to Attend Harvard After Taking a 'Gap Year',0,1,4,1,4,2,2,5,15
text100,100,text100,69,90,1,5/1/2016,Politics,http://www.wsj.com/articles/cnn-enjoys-outsize-ratings-boost-from-presidential-race-1462126349?mod=rss_Politics_And_Policy,CNN Enjoys Outsize Ratings Boost From Presidential Race,0,0,2,0,1,0,0,3,16
text7,7,text7,114,192,4,4/27/2016,Politics,http://feedproxy.google.com/~r/Motherjones/mojoblog/~3/XCaS_Ka7y1c/bernie-sanders-about-lay-hundreds-its-campaign-staff,Bernie Sanders Is Laying Off Hundreds of Campaign Staffers,1,1,4,0,1,0,1,3,1
text20,20,text20,639,1524,60,4/1/2016,Politics,http://www.worldaffairsjournal.org/article/ukraines-needed-media-offensive,Ukraine's Needed Media Offensive,1,14,32,9,15,19,18,19,2
text26,26,text26,55,70,3,5/2/2016,Politics,http://dailysignal.com/2016/05/02/the-lefts-push-to-get-rid-of-government-spending-transparency/,The Lefts Push to Get Rid of Government Spending Transparency,1,1,3,0,1,1,0,2,3
text94,94,text94,65,87,3,5/1/2016,Politics,http://www.wsj.com/articles/donald-trump-rallies-leave-some-cities-with-a-security-bill-1462135616?mod=rss_Politics_And_Policy,Trump Rallies Leave Some Cities With a Security Bill,1,0,2,0,0,1,0,0,4
text5,5,text5,51,58,3,4/27/2016,Politics,http://feedproxy.google.com/~r/Motherjones/mojoblog/~3/nXG2pf_gsEU/ted-cruz-reportedly-announcing-carly-fiorina-his-running-mate,"Ted Cruz Will Announce Carly Fiorina as His Running Mate, According to Reports",2,0,1,0,0,0,0,1,1
text35,35,text35,344,731,16,5/2/2016,Politics,http://thinkprogress.org/lgbt/2016/05/02/3774488/defense-bill-anti-lgbt-amendment/,Congressional Republicans Attach North Carolina-Style Discrimination To Defense Budget,2,10,26,4,6,12,10,12,2
text68,68,text68,138,296,4,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/hillary-clinton-bernie-sanders-fundraising/index.html?eref=rss_politics,"Clinton, Sanders spar over joint fundraising efforts",2,3,7,0,4,2,0,4,3
text6,6,text6,276,508,18,4/27/2016,Politics,http://feedproxy.google.com/~r/Motherjones/mojoblog/~3/wKlrFLR2sco/carly-fiorina-chester-arthur-unelected,Here's How Unprecedented Carly Fiorina's Nomination Would Be,3,5,13,3,5,5,4,5,1
text25,25,text25,50,55,2,5/2/2016,Politics,http://dailysignal.com/2016/05/02/an-inconvenient-truth-liberal-climate-inquisition-cant-explain-past-temperature-changes/,An Inconvenient Truth: Liberal Climate Inquisition Cant Explain Past Temperature Changes,3,0,4,0,0,0,0,2,2
text27,27,text27,50,55,2,5/2/2016,Politics,http://dailysignal.com/2016/05/02/restoring-congressional-accountability-through-appropriations-process/,Restoring Congressional Accountability Through Appropriations Process,3,0,4,0,0,0,0,2,3
text30,30,text30,50,55,2,5/2/2016,Politics,http://dailysignal.com/2016/05/02/a-look-into-washingtons-crony-deal-making-process/,A Look Into Washingtons Crony Deal-Making Process,3,0,4,0,0,0,0,2,4
text31,31,text31,50,55,2,5/2/2016,Politics,http://dailysignal.com/2016/05/02/espn-erases-kurt-schilling-from-baseball-history/,ESPN Erases Curt Schilling From Baseball History,3,0,4,0,0,0,0,2,5
text46,46,text46,44,64,2,5/2/2016,Politics,http://www.msnbc.com/msnbc-quick-cuts/watch/sanders-agrees-with-rally-goer-s-profanity-677998659671,Sanders agrees with rally-goer's profanity,3,0,1,0,1,0,0,1,6
text63,63,text63,128,226,8,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/donald-trump-ted-cruz-carly-fiorina-falling/index.html?eref=rss_politics,Trump mocks Cruz for not helping Fiorina when she fell off stage,3,0,1,0,0,2,1,2,7
text95,95,text95,62,86,1,5/1/2016,Politics,http://www.wsj.com/articles/clinton-targets-appalachia-votes-1462144315?mod=rss_Politics_And_Policy,Clinton Targets Appalachia Votes,3,0,2,0,1,0,0,1,8
text3,3,text3,128,215,5,5/2/2016,Politics,http://www.slate.com/blogs/memos_to_45/2016/05/02/jon_huntsman_s_advice_to_the_next_president_video.html,Jon Huntsmans Advice for the Next President,4,0,9,0,2,2,0,2,1
text40,40,text40,326,609,16,5/2/2016,Politics,http://thinkprogress.org/world/2016/05/02/3774515/dying-italian-towns-for-refugees/,Refugees Are Rejuvenating Dying Italian Towns,5,6,9,3,7,9,9,12,1
text9,9,text9,428,1027,24,2/22/2016,Politics,http://www.worldaffairsjournal.org/article/north-korea-why-human-rights-must-come-first,North Korea: Why Human Rights Must Come First,7,15,34,8,8,23,10,16,1
text52,52,text52,27,37,1,5/2/2016,Politics,http://www.msnbc.com/msnbc-quick-cuts/watch/leicester-city-win-premier-league-title-678108227582,Leicester City win Premier League title,7,0,2,1,2,0,1,2,2
text97,97,text97,56,78,1,5/1/2016,Politics,http://www.wsj.com/articles/political-operatives-find-demand-for-their-skills-in-business-world-1462136874?mod=rss_Politics_And_Policy,Political Hard Ball Finds a Home in Business,7,1,2,0,1,1,0,1,3
text85,85,text85,163,304,8,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152562088/0/tp-onpolitics~Trump-trouncing-in-Calif-by-points-Poll/,Trump trouncing in Calif. by 34 points: Poll,8,1,9,0,4,1,1,3,1
text93,93,text93,70,89,1,5/1/2016,Politics,http://www.wsj.com/articles/donald-trump-holds-15-point-lead-ahead-of-republican-rivals-in-indiana-poll-1462107603?mod=rss_Politics_And_Policy,"Trump Leads Cruz by 15 Points in Indiana, Poll Finds",8,0,2,0,1,0,0,3,2
text96,96,text96,71,94,1,5/1/2016,Politics,http://www.wsj.com/articles/sanders-renews-his-push-for-more-superdelegates-1462146198?mod=rss_Politics_And_Policy,Sanders Renews His Push for More Superdelegates,8,0,1,0,0,1,0,2,3
text37,37,text37,315,637,11,5/2/2016,Politics,http://thinkprogress.org/justice/2016/05/02/3774385/court-forces-woman-to-unlock-phone-with-finger-id/,California Judge Orders Woman To Unlock iPhone With Fingerprint,10,7,14,4,2,12,3,3,1
text55,55,text55,209,407,8,5/2/2016,Politics,http://www.nytimes.com/politics/first-draft/2016/05/02/hillary-clinton-cashes-in-on-donald-trumps-womans-card-comments/?partner=rss&emc=rss,First Draft: Hillary Clinton Cashes In on Donald Trumps Womans Card Comments,10,4,9,0,6,1,1,8,2
text71,71,text71,275,540,5,5/2/2016,Politics,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/1RxqhWTJ2EA/us-usa-court-obama-idUSKCN0XT21E,Obama takes Supreme Court fight to Republican senators' home turf,10,6,16,3,2,4,3,8,3
text64,64,text64,143,295,6,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/larry-wilmore-use-of-n-word-josh-earnest/index.html?eref=rss_politics,Earnest defends Larry Wilmore's N-word use at WHCD,11,0,8,0,4,0,2,6,1
text69,69,text69,582,1498,28,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/obama-garland-senate-republicans/index.html?eref=rss_politics,Obama barnstorms on TV for stalled nominee Garland,13,14,37,6,14,12,10,22,1
text28,28,text28,974,3274,53,5/2/2016,Politics,http://dailysignal.com/2016/05/02/it-takes-300-hours-to-become-a-shampooer-in-tennessee/,It Takes 300 Hours to Become a Shampooer in Tennessee,14,21,60,12,28,29,23,34,1
text70,70,text70,146,241,6,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/ted-cruz-obama-basketball-ring/index.html?eref=rss_politics,Cruz on Obama: He's got game,14,4,4,0,5,4,1,6,2
text65,65,text65,120,227,7,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/lou-holtz-endorses-donald-trump/index.html?eref=rss_politics,Lou Holtz endorses Trump for president,15,1,5,1,1,0,0,1,1
text21,21,text21,445,999,27,4/12/2016,Politics,http://www.worldaffairsjournal.org/article/solving-ukraine%E2%80%99s-security-dilemma,Solving Ukraines Security Dilemma,16,7,30,2,9,10,8,14,1
text2,2,text2,371,846,30,4/28/2016,Politics,http://www.slate.com/articles/news_and_politics/politics/2016/04/carly_fiorina_ted_cruz_s_unfathomable_choice_for_vice_president.html,"Ted Cruzs VP Pick Doesnt Make Any Sense, Unless",18,8,11,3,7,6,6,6,1
text15,15,text15,902,2709,54,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/new-fight-cuba-and-movement-democracy,The New Fight: Cuba and the Movement for Democracy,18,27,53,14,20,29,24,33,2
text22,22,text22,354,680,15,4/19/2016,Politics,http://www.worldaffairsjournal.org/article/putin-consolidates-domestic-power,Putin Consolidates Domestic Power,19,13,26,8,9,18,10,12,1
text53,53,text53,355,674,17,5/2/2016,Politics,http://www.msnbc.com/msnbc/indiana-sports-legends-lou-holtz-and-bobby-knight-line-trump,Indiana sports legends line up for Trump,19,12,23,5,9,8,5,10,2
text59,59,text59,574,1207,28,5/1/2016,Politics,http://www.politico.com/story/2016/04/white-house-correspondents-dinner-barack-obama-222676,"Obama roasts the media, RNC and, of course, Trump at annual dinner",20,9,27,5,16,7,9,18,1
text58,58,text58,335,725,29,5/1/2016,Politics,http://www.politico.com/story/2016/04/barack-obama-jokes-white-house-correspondents-dinner-222671,Obama's top 10 jokes at the correspondents' dinner,22,2,12,1,9,2,1,12,1
text84,84,text84,147,245,6,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152548290/0/tp-onpolitics~Lou-Holtz-endorses-Donald-Trump-cites-first-class-hotel-and-golf-course/,"Lou Holtz endorses Donald Trump, cites 'first class' hotel and golf course",25,2,7,1,3,0,0,4,1
text1,1,text1,635,1425,62,4/28/2016,Politics,http://www.slate.com/articles/news_and_politics/politics/2016/04/trump_hillary_cruz_and_bernie_give_bad_speeches.html,This Elections Speeches Have Been Awful,26,13,16,11,15,17,18,19,1
text83,83,text83,280,606,19,5/2/2016,Politics,http://rssfeeds.usatoday.com/~/152551432/0/tp-onpolitics~Trump-Gov-Pences-Cruz-endorsement-is-very-weak/,Trump: Gov. Pence's Cruz endorsement is 'very weak',27,5,15,1,8,2,2,6,1
text14,14,text14,1690,5838,129,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/not-even-past-bravado-meets-reality-brazil,Not Even Past: Bravado Meets Reality in Brazil,34,29,88,22,43,42,41,58,1
