Index,Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
1,100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success_2016-03-21_News.txt,565,1312,51,100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success,16881,News,65,4,37,1,17,8,3,24
2,12 Cost-Effective Ways to Increase Traffic to Your Company Website_2016-03-21_News.txt,415,866,65,12 Cost-Effective Ways to Increase Traffic to Your Company Website,16881,News,42,2,24,1,13,3,3,21
3,4 Digital Marketing Trends You Cant Afford to Ignore_2016-03-21_Business.txt,369,674,39,4 Digital Marketing Trends You Cant Afford to Ignore,16881,Business,50,2,15,2,13,2,2,19
4,4 Tips to Help You Write With Clarity and Substance_2016-03-21_Business.txt,496,974,76,4 Tips to Help You Write With Clarity and Substance,16881,Business,43,9,26,4,11,7,10,14
5,7 Things To Know About Buying The Right Olive Oil_2016-03-21_News.txt,474,1018,77,7 Things To Know About Buying The Right Olive Oil,16881,News,67,8,25,10,25,8,8,20
6,7 tips for raising startup capital from a founder whos been doing it for 18 years_2016-03-21_Business.txt,695,1698,117,7 tips for raising startup capital from a founder whos been doing it for 18 years,16881,Business,51,14,43,13,22,15,13,28
7,Ask Not What Your Podcast Can Do for You_2016-02-25_Business.txt,1374,7081,492,Ask Not What Your Podcast Can Do for You,16856,Business,94,27,78,17,48,41,41,64
8,Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News_2016-03-21_News.txt,372,868,51,Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News,16881,News,-43,20,24,8,10,26,23,10
9,Content Marketers Need to Act Like Publishers_2016-03-21_Business.txt,488,1128,77,Content Marketers Need to Act Like Publishers,16881,Business,57,3,30,3,18,9,4,22
10,Documentary exposes horror of life in Saudi Arabia_2016-03-21_News.txt,730,1863,91,Documentary exposes horror of life in Saudi Arabia,16881,News,-111,53,35,30,14,53,41,23
11,Donald Trumps tactics are disturbingly similar to those of actual dictators_2016-03-21_News.txt,940,2373,115,Donald Trumps tactics are disturbingly similar to those of actual dictators,16881,News,-85,61,62,33,17,64,40,28
12,Equal pay a myth and a minefield_2016-03-21_News.txt,500,1234,66,Equal pay a myth and a minefield,16881,News,53,13,20,3,16,10,7,18
13,Exporting Jihad_2016-03-21_News.txt,2845,10493,594,Exporting Jihad,16881,News,-123,121,163,63,90,127,109,110
14,Get $100 off an Apple Watch  and more of todays best deals from around the web_2016-03-21_Business.txt,344,691,51,Get $100 off an Apple Watch  and more of todays best deals from around the web,16881,Business,46,3,18,2,9,4,4,13
15,How Can This Possibly Be True _2016-02-18_Business.txt,1656,6638,461,How Can This Possibly Be True ,16849,Business,73,36,86,21,52,37,44,61
16,How Giphy Became the Internets Go-To Gif Brand_2016-03-21_Business.txt,1125,3374,242,How Giphy Became the Internets Go-To Gif Brand,16881,Business,70,17,51,11,28,17,18,44
17,How to find a flying squirrel  Citizen scientists are enlisted to help scientists._2016-03-21_News.txt,612,1331,58,How to find a flying squirrel  Citizen scientists are enlisted to help scientists.,16881,News,46,7,39,4,17,12,5,26
18,How to Fix a Broken High-Schooler in Four Easy Steps_2016-02-04_Business.txt,1083,4352,223,How to Fix a Broken High-Schooler in Four Easy Steps,16835,Business,56,17,55,11,38,26,26,44
19,How Unity is pushing VR and better 3D graphics with its game engine_2016-03-21_Business.txt,623,1896,137,How Unity is pushing VR and better 3D graphics with its game engine,16881,Business,58,8,30,4,16,6,3,25
20,Imaginary Spaces_2016-03-21_News.txt,2025,6467,365,Imaginary Spaces,16881,News,55,51,89,25,60,67,61,62
21,Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive_2016-03-21_News.txt,611,1658,90,Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive,16881,News,41,11,28,3,20,15,10,23
22,Is Americas Education Problem Really Just a Teacher Problem _2016-01-28_Business.txt,1386,6016,333,Is Americas Education Problem Really Just a Teacher Problem ,16828,Business,104,30,98,18,51,32,35,57
23,Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism_2016-03-21_News.txt,528,1148,63,Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism,16881,News,-55,17,29,8,11,25,18,16
24,Last living suspect in VIP paedophile ring inquiry will not face charges_2016-03-21_News.txt,562,1498,64,Last living suspect in VIP paedophile ring inquiry will not face charges,16881,News,-62,19,33,16,13,30,21,20
25,Lee Scratch Perry at 80  I am a prince and the music is the king_2016-03-21_News.txt,679,2243,191,Lee Scratch Perry at 80  I am a prince and the music is the king,16881,News,63,18,39,14,40,23,27,39
26,Listen Up! Here Are 6 Ways to Become a Great Communicator._2016-03-21_Business.txt,368,777,59,Listen Up! Here Are 6 Ways to Become a Great Communicator.,16881,Business,47,8,18,1,12,6,3,18
27,Manhunt launched for newly identified Paris attacks suspect Najim Laachraoui - CNN_2016-03-21_News.txt,497,1281,62,Manhunt launched for newly identified Paris attacks suspect Najim Laachraoui - CNN,16881,News,-47,17,16,5,2,23,6,15
28,Marriott $13.6 bn bid for Starwood Hotels tops Chinas Anbang_2016-03-21_News.txt,325,670,29,Marriott $13.6 bn bid for Starwood Hotels tops Chinas Anbang,16881,News,43,4,24,1,15,4,3,17
29,Merah  The Untold Story of a French Jihadist Icon_2016-02-10_Politics.txt,1359,3987,185,Merah  The Untold Story of a French Jihadist Icon,16841,Politics,-78,50,75,24,30,67,40,49
30,My Purple Scented Novel_2016-03-21_News.txt,1416,4311,311,My Purple Scented Novel,16881,News,86,43,80,28,73,41,49,77
31,New weapons for Panama tribes in old fight to save forests_2016-02-25_News.txt,1100,3034,125,New weapons for Panama tribes in old fight to save forests,16856,News,-47,33,67,25,26,44,28,28
32,Older Voters May Be Hillary Clintons Answer to Bernie Sanderss Youth Appeal_2016-03-21_News.txt,486,1002,45,Older Voters May Be Hillary Clintons Answer to Bernie Sanderss Youth Appeal,16881,News,43,12,43,6,23,11,17,26
33,Police officer  Trump protesters were the most hateful evil people Ive ever seen_2016-03-21_News.txt,487,1166,66,Police officer  Trump protesters were the most hateful evil people Ive ever seen,16881,News,-46,24,30,9,15,23,15,14
34,Runs in the Family_2016-03-21_News.txt,1951,6188,349,Runs in the Family,16881,News,-64,68,87,41,54,82,69,78
35,Sports Marketing - More Than Just A Hunting Ground For Male Consumers_2016-03-21_News.txt,432,905,55,Sports Marketing - More Than Just A Hunting Ground For Male Consumers,16881,News,47,4,20,3,12,7,5,12
36,Ten Keys to Grade the Symbolism and Substance of Obamas Historic Visit to Cuba Part I_2016-03-21_News.txt,598,1298,55,Ten Keys to Grade the Symbolism and Substance of Obamas Historic Visit to Cuba Part I,16881,News,41,12,42,9,20,19,8,25
37,The 15 Best Podcasts for Entrepreneurs_2016-03-21_Business.txt,389,807,71,The 15 Best Podcasts for Entrepreneurs,16881,Business,47,2,22,2,16,7,9,18
38,The Anatomy of a Heroin Relapse_2016-03-21_News.txt,1208,3930,192,The Anatomy of a Heroin Relapse,16881,News,-71,49,55,37,40,63,63,43
39,The Best Way to Take a Compliment_2016-03-21_Business.txt,251,590,52,The Best Way to Take a Compliment,16881,Business,43,5,11,4,12,6,7,13
40,The disabled models of New York Fashion Week_2016-02-25_News.txt,472,1191,66,The disabled models of New York Fashion Week,16856,News,48,4,30,1,31,7,7,22
41,The Life Biz_2016-03-21_News.txt,978,2748,154,The Life Biz,16881,News,79,16,65,10,40,22,20,41
42,The NFL is taking a long hard look at the stickiness of gloves_2016-03-21_News.txt,377,853,52,The NFL is taking a long hard look at the stickiness of gloves,16881,News,45,4,17,2,12,4,4,16
43,The No-Tipping Point_2016-03-10_Business.txt,1538,7380,461,The No-Tipping Point,16870,Business,65,27,92,19,51,33,45,58
44,The Power of the Three-Item To-Do List_2016-03-21_News.txt,221,482,21,The Power of the Three-Item To-Do List,16881,News,41,1,12,0,7,3,0,10
45,Trump faces test with Israel speech_2016-03-21_Politics.txt,790,1801,89,Trump faces test with Israel speech,16881,Politics,48,14,46,11,19,12,18,25
46,Trump will almost certainly never be elected president. Heres why._2016-03-21_News.txt,661,1837,77,Trump will almost certainly never be elected president. Heres why.,16881,News,51,15,50,7,20,21,13,31
47,Turning from the West  South Africas Ominous Pivot_2016-02-11_Politics.txt,1284,3402,131,Turning from the West  South Africas Ominous Pivot,16842,Politics,-50,40,93,26,29,66,46,40
48,When Machines Think and Feel_2016-03-19_News.txt,880,2202,144,When Machines Think and Feel,16879,News,46,20,44,14,23,24,25,35
49,Who Needs Handwriting _2016-02-11_Business.txt,1485,6505,427,Who Needs Handwriting ,16842,Business,79,34,77,21,45,36,35,55
